draw,area_baseline,area_neutralized,memory_attributable_area,multiplier_gain,multiplier_w_g,multiplier_w_alpha,multiplier_w_m,multiplier_w_l,multiplier_w_c,multiplier_threshold,multiplier_tau_m,multiplier_tau_l,multiplier_tau_c,multiplier_delta_m,multiplier_decay_l,multiplier_consolidate_c,multiplier_recover_c
22,0.45856471706524987,0.040069161044414374,0.4184955560208355,1.088373266811228,0.9788651718330903,0.9669818005999562,1.0084215880491414,1.1361759111993537,0.9934692524739517,0.8358866503947977,0.8213370022330728,1.1457388620070805,0.8130453569323383,0.9759049957131982,1.0345842219247265,0.9082896950070971,0.8185726574012386
23,0.4967797313975636,0.017427519336127566,0.479352212061436,1.1009412671485845,0.8982009221612027,0.8879275809510326,0.8456927010322263,1.0225535446986485,0.9310139368920539,0.8950871182376814,0.8735011877745595,0.8040967172708098,0.9860844282820256,1.1567313230789922,0.9380265272879089,0.9020741822845522,0.8241940797859248
24,0.4785905319195552,0.017003747300435443,0.4615867846191197,1.1950546990896402,0.8216219818337102,1.0808011579447023,1.1158273517100539,1.008710793325251,0.9235375765173747,1.0628678468244208,1.1530727466382518,0.8443240869291828,0.8194558314416119,0.9397651055545492,1.1151473458797638,1.0645760286397203,1.1911706275168874
25,0.378717266730119,0.0007947690646172509,0.3779224976655018,0.9856794366508607,0.9202068443526357,1.194273910299657,0.8241995814823957,0.9690992412164765,0.8225273235830376,1.165687653033296,1.0089248856146549,1.0464139438143587,0.9051963133437495,0.8792182421224917,1.1275364530163916,0.9207039697040428,1.0460782954185999
26,0.39976430996631157,0.011412563230252717,0.3883517467360589,0.8661684413412567,1.0710620256764158,1.086668896210002,1.0592984166269934,0.9668253343650032,1.149827301695981,0.9540449896214352,0.9998339279383756,0.8019747174383804,1.192793488041654,1.1859909192025762,0.8152017001959991,1.0834024286919655,0.9213789325638128
27,0.5407433177821099,0.009005414541394391,0.5317379032407156,1.0030904744183697,0.9143309611071584,0.8399712923012621,0.9821255859869041,1.167399225486181,0.8692662652476942,1.0307716455730929,0.8601430030888614,1.0485109165700846,1.0185941136574368,1.082754425851578,0.9232935750469512,1.0279132610627866,1.0617424809047926
28,0.4168311549923955,0.0026980687378568833,0.4141330862545386,1.1314416256163662,0.8751458020570612,1.08687444138222,0.9125390508923532,1.004116660017751,1.1102157028066868,0.8615040426509092,1.1685231936487723,0.8780849045559725,1.0041563541752776,0.9776066900301925,0.8455503006549063,0.9590827655184624,0.9226618841115469
29,0.2946223037743435,0.0039044510442869333,0.29071785273005657,0.8110533024083929,1.1721506640666872,1.1495004175860162,1.0235671150415493,1.0643218037075357,0.8590324246128446,0.8152302630418672,0.9202986442261628,1.1804907441839738,0.826778607119629,0.844826986628595,0.94417931047978,1.1996181486237572,1.0213805129027367
30,0.4196437400786753,0.0001344472075764047,0.4195092928710989,0.838502177547073,0.8727742457805583,0.9293511969300818,0.8550714816925431,1.0142603666825907,0.9089352130787766,1.0701712953152676,0.9162728862155857,1.1884701692266626,0.8198255222239753,0.8177729654474143,0.951617616492938,0.9190038906922177,1.0144416988928393
31,0.35573371230345807,0.00034055498253237346,0.3553931573209257,0.8640769729545933,0.9208445121421036,1.180756901511089,0.8132634935586267,0.8076778675392116,1.030020042354339,1.1863513133121424,0.945594613213307,0.9899999538408981,0.8004357977986942,0.8903917583428443,1.0480252334150917,1.079240434938759,1.0823639702618777
